Ticker,Security,GICS.Sector,GICS.Sub.Industry,Market.Cap,,
MCHP,Microchip Technology,Information Technology,Semiconductors,41426657034,,
MCK,McKesson Corporation,Health Care,Health Care Distributors,30763231193,,
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,70750414000,,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,88446870675,,
MDT,Medtronic,Health Care,Health Care Equipment,1.71E+11,,
MET,MetLife,Financials,Life & Health Insurance,53851723387,,
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,19607713476,,
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,14480608821,,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,22905490000,,
MKTX,MarketAxess,Financials,Financial Exchanges & Data,17637491731,,
MLM,Martin Marietta Materials,Materials,Construction Materials,24071405409,,
MMC,Marsh & McLennan,Financials,Insurance Brokers,76789287663,,
MMM,3M,Industrials,Industrial Conglomerates,1.16E+11,,
MNST,Monster Beverage,Consumer Staples,Soft Drinks,51640409512,,
MO,Altria Group,Consumer Staples,Tobacco,89286568604,,
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,12882310000,,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,38215547736,,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,21262796800,,
MRK,Merck & Co.,Health Care,Pharmaceuticals,1.94E+11,,
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,9717016442,,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1.88E+11,,
MSCI,MSCI,Financials,Financial Exchanges & Data,51238707657,,
MSFT,Microsoft,Information Technology,Systems Software,2.19E+12,,
MSI,Motorola Solutions,Information Technology,Communications Equipment,39209650999,,
MTB,M&T Bank,Financials,Regional Banks,17974358493,,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,35271364713,,
MU,Micron Technology,Information Technology,Semiconductors,79084190000,,
MXIM,Maxim Integrated,Information Technology,Semiconductors,26423090000,,
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",9430219647,,
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,31828915368,,
NEE,NextEra Energy,Utilities,Multi-Utilities,1.63E+11,,
NEM,Newmont,Materials,Gold,47028570985,,
NFLX,Netflix,Communication Services,Movies & Entertainment,2.30E+11,,
NI,NiSource,Utilities,Multi-Utilities,9991867533,,
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2.70E+11,,
NLOK,NortonLifeLock,Information Technology,Application Software,15237951106,,
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,8288282310,,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,58273308036,,
NOV,Nov,Energy,Oil & Gas Equipment & Services,5278412391,,
NOW,ServiceNow,Information Technology,Systems Software,1.15E+11,,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,10608630846,,
NSC,Norfolk Southern,Industrials,Railroads,19123525,,
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",18561874614,,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,24319673160,,
NUE,Nucor,Materials,Steel,37414036049,,
NVDA,Nvidia,Information Technology,Semiconductors,5.00E+11,,
NVR,NVR,Consumer Discretionary,Homebuilding,18763380000,,
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,10928951400,,
NWS,News Corp (Class B),Communication Services,Publishing,14006780000,,
NWSA,News Corp (Class A),Communication Services,Publishing,14006780000,,
NXPI,NXP,Information Technology,Semiconductors,57099452064,,
O,Realty Income Corporation,Real Estate,Retail REITs,27886043104,,
ODFL,Old Dominion Freight Line,Industrials,Trucking,32367764849,,
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,23584374828,,
OMC,Omnicom Group,Communication Services,Advertising,16255319775,,
ORCL,Oracle,Information Technology,Application Software,2.51E+11,,
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,41324501575,,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,24431165809,,
PAYC,Paycom,Information Technology,Application Software,27667457156,,
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,42161304534,,
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,7022738268,,
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,28301575568,,
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,19230392512,,
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,32650169118,,
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,11478540000,,
PEP,PepsiCo,Consumer Staples,Soft Drinks,2.16E+11,,
PFE,Pfizer,Health Care,Pharmaceuticals,2.69E+11,,
PFG,Principal Financial Group,Financials,Life & Health Insurance,18062922930,,
PG,Procter & Gamble,Consumer Staples,Personal Products,3.48E+11,,
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,56509316450,,
PH,Parker-Hannifin,Industrials,Industrial Machinery,38023750000,,
PHM,PulteGroup,Consumer Discretionary,Homebuilding,14105145705,,
PKG,Packaging Corporation of America,Materials,Paper Packaging,13892132826,,
PKI,PerkinElmer,Health Care,Health Care Equipment,20437290000,,
PLD,Prologis,Real Estate,Industrial REITs,96887714562,,
PM,Philip Morris International,Consumer Staples,Tobacco,1.58E+11,,
PNC,PNC Financial Services,Financials,Regional Banks,81250199976,,
PNR,Pentair,Industrials,Industrial Machinery,13212654546,,
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,9008185872,,
POOL,Pool Corporation,Consumer Discretionary,Distributors,19451108095,,
PPG,PPG Industries,Materials,Specialty Chemicals,40277041454,,
PPL,PPL,Utilities,Electric Utilities,22591778259,,
PRGO,Perrigo,Health Care,Pharmaceuticals,5488323966,,
PRU,Prudential Financial,Financials,Life & Health Insurance,41882930000,,
PSA,Public Storage,Real Estate,Specialized REITs,55163589642,,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,32700288604,,
PTC,PTC,Information Technology,Application Software,15494397600,,
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",8252039177,,
PWR,Quanta Services,Industrials,Construction & Engineering,13546476405,,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,37514795225,,
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,3.23E+11,,
QCOM,Qualcomm,Information Technology,Semiconductors,1.67E+11,,
QRVO,Qorvo,Information Technology,Semiconductors,20857369597,,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",20352613522,,
RE,Everest Re,Financials,Reinsurance,10943292068,,
REG,Regency Centers,Real Estate,Retail REITs,11277920000,,
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,66667439928,,
RF,Regions Financial Corporation,Financials,Regional Banks,19602419064,,
RHI,Robert Half International,Industrials,Human Resource & Employment Services,11484770000,,
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,19091660000,,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",9114424306,,
RMD,ResMed,Health Care,Health Care Equipment,39832587394,,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,36802200000,,
ROL,Rollins,Industrials,Environmental & Facilities Services,18202505386,,
ROP,Roper Technologies,Industrials,Industrial Conglomerates,50550730000,,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,44643658707,,
